Name,width,height,xmin,ymin,xmax,ymax,headcount
10001.jpg,612,408,192,199,230,235,4
10001.jpg,612,408,247,168,291,211,4
10001.jpg,612,408,321,176,366,222,4
10001.jpg,612,408,355,183,387,214,4
10002.jpg,612,408,339,165,378,202,4
10002.jpg,612,408,305,215,345,255,4
10002.jpg,612,408,401,174,432,205,4
10002.jpg,612,408,424,176,456,208,4
10003.jpg,612,383,54,6,253,196,2
10003.jpg,612,383,203,11,394,197,2
10004.jpg,612,407,138,191,218,267,3
10004.jpg,612,407,404,186,544,319,3
10004.jpg,612,407,235,150,348,265,3
10006.jpg,612,408,176,159,224,205,4
10006.jpg,612,408,219,173,258,211,4
10006.jpg,612,408,287,165,317,196,4
10006.jpg,612,408,333,189,364,220,4
10007.jpg,612,408,456,144,523,207,4
10007.jpg,612,408,203,151,285,229,4
10007.jpg,612,408,354,121,419,185,4
10007.jpg,612,408,42,59,174,189,4
10008.jpg,612,414,321,127,385,198,6
10008.jpg,612,414,517,142,600,244,6
10008.jpg,612,414,381,117,485,227,6
10008.jpg,612,414,122,74,244,221,6
10008.jpg,612,414,47,24,127,119,6
10008.jpg,612,414,231,103,338,226,6
10010.jpg,612,396,205,146,237,185,7
10010.jpg,612,396,262,105,358,223,7
10010.jpg,612,396,349,190,405,273,7
10010.jpg,612,396,210,173,269,236,7
10010.jpg,612,396,161,152,196,213,7
10010.jpg,612,396,370,23,525,182,7
10010.jpg,612,396,389,168,474,252,7
10011.jpg,612,446,0,61,63,125,6
10011.jpg,612,446,293,49,347,103,6
10011.jpg,612,446,557,129,612,186,6
10011.jpg,612,446,76,29,142,96,6
10011.jpg,612,446,209,105,299,201,6
10011.jpg,612,446,305,71,439,200,6
10012.jpg,612,352,237,66,326,194,8
10012.jpg,612,352,4,94,104,233,8
10012.jpg,612,352,196,127,256,186,8
10012.jpg,612,352,355,93,417,140,8
10012.jpg,612,352,535,81,594,145,8
10012.jpg,612,352,371,18,493,151,8
10012.jpg,612,352,110,117,181,201,8
10012.jpg,612,352,331,121,404,220,8
10013.jpg,570,612,201,36,324,215,4
10013.jpg,570,612,100,96,200,207,4
10013.jpg,570,612,333,44,471,217,4
10013.jpg,570,612,77,114,121,173,4
10014.jpg,612,476,367,185,398,216,7
10014.jpg,612,476,514,201,545,233,7
10014.jpg,612,476,307,164,337,195,7
10014.jpg,612,476,456,198,487,230,7
10014.jpg,612,476,208,171,247,210,7
10014.jpg,612,476,122,185,153,215,7
10014.jpg,612,476,49,174,88,213,7
10016.jpg,612,408,218,101,308,193,2
10016.jpg,612,408,254,183,364,292,2
10017.jpg,612,459,346,229,393,272,3
10017.jpg,612,459,243,208,289,254,3
10017.jpg,612,459,159,149,237,234,3
10018.jpg,612,459,348,185,391,235,4
10018.jpg,612,459,285,215,334,265,4
10018.jpg,612,459,180,163,226,222,4
10018.jpg,612,459,372,118,444,212,4
10019.jpg,612,408,324,164,483,327,2
10019.jpg,612,408,246,95,350,205,2
10020.jpg,612,437,173,115,205,147,4
10020.jpg,612,437,281,113,319,150,4
10020.jpg,612,437,156,129,188,160,4
10020.jpg,612,437,236,92,279,139,4
10021.jpg,612,408,330,144,446,259,3
10021.jpg,612,408,89,88,233,228,3
10021.jpg,612,408,214,97,350,230,3
10026.jpg,612,408,372,109,461,224,2
10026.jpg,612,408,229,118,334,207,2
10027.jpg,612,408,574,145,612,218,6
10027.jpg,612,408,519,115,568,163,6
10027.jpg,612,408,454,82,499,152,6
10027.jpg,612,408,317,130,363,180,6
10027.jpg,612,408,256,93,292,155,6
10027.jpg,612,408,87,33,169,169,6
10028.jpg,612,408,335,129,381,176,3
10028.jpg,612,408,223,116,288,180,3
10028.jpg,612,408,313,74,367,127,3
10031.jpg,612,425,345,190,396,247,4
10031.jpg,612,425,203,168,259,221,4
10031.jpg,612,425,158,164,215,216,4
10031.jpg,612,425,278,178,324,222,4
10032.jpg,612,404,318,189,371,244,4
10032.jpg,612,404,357,228,412,285,4
10032.jpg,612,404,428,233,491,297,4
10032.jpg,612,404,263,198,317,255,4
10034.jpg,612,408,466,180,537,253,4
10034.jpg,612,408,415,197,461,251,4
10034.jpg,612,408,344,187,399,244,4
10034.jpg,612,408,358,124,402,175,4
10035.jpg,612,408,343,151,406,215,4
10035.jpg,612,408,480,112,548,179,4
10035.jpg,612,408,313,82,379,148,4
10035.jpg,612,408,419,141,472,196,4
10038.jpg,612,408,94,172,150,227,7
10038.jpg,612,408,416,115,551,251,7
10038.jpg,612,408,401,116,446,163,7
10038.jpg,612,408,11,114,105,214,7
10038.jpg,612,408,315,128,354,167,7
10038.jpg,612,408,155,141,208,195,7
10038.jpg,612,408,242,134,288,177,7
10039.jpg,612,408,79,57,134,113,5
10039.jpg,612,408,428,55,482,109,5
10039.jpg,612,408,356,93,401,137,5
10039.jpg,612,408,263,40,310,87,5
10039.jpg,612,408,168,102,223,159,5
10040.jpg,612,408,222,269,321,365,4
10040.jpg,612,408,304,136,397,226,4
10040.jpg,612,408,246,166,333,260,4
10040.jpg,612,408,187,296,269,370,4
10041.jpg,612,408,320,110,373,169,4
10041.jpg,612,408,377,60,400,84,4
10041.jpg,612,408,361,61,385,84,4
10041.jpg,612,408,277,117,334,173,4
10042.jpg,612,408,332,190,367,237,4
10042.jpg,612,408,227,184,269,244,4
